0.05475	0.075478818	0.1084	0.119507162	0.1606	0.167732143	0.2151	0.2648	0.317	0.3703	0.4236	0.4793
0.05475	0.07539469	0.1084	0.119454046	0.1606	0.167694303	0.2151	0.2648	0.317	0.3703	0.4236	0.4793
0.054757898	0.07539469	0.108403989	0.119454046	0.160602693	0.167694303	0.21510201	0.264801633	0.317001364	0.370301168	0.423601021	0.479300902
0.055057929	0.07539469	0.108555852	0.119454046	0.160705237	0.167694303	0.215178584	0.264863839	0.317053328	0.370345653	0.42363991	0.479335272
0.054827793	0.077917301	0.108439312	0.121062033	0.160626537	0.168843495	0.215119814	0.264816095	0.317013445	0.37031151	0.423610062	0.479308892
0.054885128	0.075208881	0.108468312	0.119336858	0.160646116	0.167610846	0.215134434	0.264827972	0.317023366	0.370320003	0.423617486	0.479315454
0.054765208	0.07526376	0.108407682	0.119371451	0.160605185	0.167635478	0.215103871	0.264803145	0.317002627	0.370302249	0.423601966	0.479301737
0.054754002	0.075116373	0.108402021	0.119278579	0.160601364	0.167569357	0.215101019	0.264800827	0.317000691	0.370300592	0.423600517	0.479300457
0.054750001	0.074763337	0.108400001	0.119056568	0.1606	0.167411399	0.2151	0.2648	0.317	0.3703	0.4236	0.4793
0.05475	0.076937355	0.1084	0.12043366	0.1606	0.168393517	0.2151	0.2648	0.317	0.3703	0.4236	0.4793
0.054750895	0.076200792	0.108400452	0.119964456	0.160600305	0.168058266	0.215100228	0.264800185	0.317000155	0.370300132	0.423600116	0.479300102
0.054754578	0.075478818	0.108402312	0.119507162	0.160601561	0.167732143	0.215101165	0.264800946	0.317000791	0.370300677	0.423600592	0.479300523
0.054771506	0.074425042	0.108410864	0.118844423	0.160607333	0.167260596	0.215105475	0.264804447	0.317003715	0.37030318	0.42360278	0.479302457
0.0547508	0.075334895	0.108400404	0.119416315	0.160600273	0.167667427	0.215100204	0.264800165	0.317000138	0.370300118	0.423600103	0.479300091
0.05475	0.073699398	0.1084	0.118391348	0.1606	0.166938974	0.2151	0.2648	0.317	0.3703	0.4236	0.4793
0.05475	0.074781551	0.1084	0.119068007	0.1606	0.167419534	0.2151	0.2648	0.317	0.3703	0.4236	0.4793
0.054753776	0.075854567	0.108401907	0.119744834	0.160601287	0.167901564	0.215100961	0.264800781	0.317000652	0.370300558	0.423600488	0.479300431
0.054762156	0.067830334	0.10840614	0.114829718	0.160604144	0.164432278	0.215103094	0.264802514	0.3170021	0.370301797	0.423601571	0.479301389
0.054753277	0.071763034	0.108401655	0.117195746	0.160601117	0.166093206	0.215100834	0.264800677	0.317000566	0.370300484	0.423600424	0.479300374
0.05475	0.07368787	0.1084	0.118384172	0.1606	0.166933886	0.2151	0.2648	0.317	0.3703	0.4236	0.4793
0.0547508	0.073277199	0.108400404	0.118128988	0.160600273	0.166753014	0.215100204	0.264800165	0.317000138	0.370300118	0.423600103	0.479300091
0.054757233	0.07464045	0.108403654	0.118979438	0.160602466	0.167356556	0.215101841	0.264801496	0.317001249	0.37030107	0.423600935	0.479300826
0.054752148	0.076017883	0.108401085	0.119848356	0.160600732	0.16797541	0.215100547	0.264800444	0.317000371	0.370300318	0.423600278	0.479300245
0.054752035	0.075790235	0.108401028	0.119704092	0.160600694	0.16787251	0.215100518	0.264800421	0.317000351	0.370300301	0.423600263	0.479300232
0.054752507	0.076017883	0.108401266	0.119848356	0.160600855	0.16797541	0.215100638	0.264800518	0.317000433	0.370300371	0.423600324	0.479300286
0.054761935	0.077006045	0.108406029	0.120477553	0.160604069	0.168424912	0.215103038	0.264802468	0.317002062	0.370301765	0.423601543	0.479301363
0.054751603	0.076017883	0.10840081	0.119848356	0.160600547	0.16797541	0.215100408	0.264800331	0.317000277	0.370300237	0.423600207	0.479300183
0.054750594	0.077266731	0.1084003	0.120644344	0.160600202	0.16854426	0.215100151	0.264800123	0.317000103	0.370300088	0.423600077	0.479300068
0.054750115	0.076322683	0.108400058	0.120041917	0.160600039	0.168113568	0.215100029	0.264800024	0.31700002	0.370300017	0.423600015	0.479300013
0.054751975	0.075403036	0.108400997	0.119459314	0.160600673	0.167698055	0.215100503	0.264800408	0.317000341	0.370300292	0.423600255	0.479300226
0.054753255	0.075870125	0.108401644	0.11975469	0.16060111	0.167908593	0.215100828	0.264800673	0.317000562	0.370300481	0.423600421	0.479300372
0.054767368	0.075869269	0.108408773	0.119754148	0.160605922	0.167908207	0.215104421	0.264803592	0.317003	0.370302568	0.423602245	0.479301984
0.054754629	0.075709347	0.108402338	0.119652894	0.160601578	0.167836007	0.215101178	0.264800957	0.3170008	0.370300685	0.423600598	0.479300529
0.054751298	0.07564727	0.108400656	0.119613625	0.160600442	0.167808013	0.21510033	0.264800268	0.317000224	0.370300192	0.423600168	0.479300148
0.054750101	0.07570027	0.108400051	0.119647151	0.160600034	0.167831912	0.215100026	0.264800021	0.317000017	0.370300015	0.423600013	0.479300012
0.054752813	0.075722395	0.108401421	0.119661151	0.160600959	0.167841893	0.215100716	0.264800582	0.317000486	0.370300416	0.423600364	0.479300321
0.054750535	0.075707008	0.10840027	0.119651414	0.160600182	0.167834952	0.215100136	0.264800111	0.317000092	0.370300079	0.423600069	0.479300061
0.054750001	0.075712296	0.108400001	0.11965476	0.1606	0.167837337	0.2151	0.2648	0.317	0.3703	0.4236	0.4793
0.054750731	0.075733231	0.108400369	0.119668008	0.160600249	0.167846782	0.215100186	0.264800151	0.317000126	0.370300108	0.423600095	0.479300084
