-0.04020035	-0.04235728	-0.08062805	-0.08116682	-0.11993733	-0.12155174	-0.15866896	-0.1597442	-0.19870408	-0.1992412	-0.23977018	-0.27784476	-0.31614884	-0.35601853	-0.39611316	-0.43669863	-0.45483589
-0.03900213	-0.04057736	-0.07769405	-0.07821608	-0.1158289	-0.1173924	-0.15286482	-0.1539018	-0.19169779	-0.19220976	-0.23102249	-0.26793974	-0.30481898	-0.34323624	-0.38160214	-0.42097394	-0.43838535
-0.03754301	-0.03908	-0.07503956	-0.07529224	-0.11173496	-0.11300439	-0.14735855	-0.14837016	-0.18473471	-0.18523406	-0.22284583	-0.25835194	-0.29382068	-0.33078964	-0.36796241	-0.4058609	-0.42228038
-0.03609243	-0.0378469	-0.07214538	-0.07264707	-0.10765816	-0.10890899	-0.14188346	-0.14288335	-0.17781764	-0.1783177	-0.21445848	-0.24881789	-0.28289142	-0.31866583	-0.35439945	-0.39083524	-0.40656222
-0.03466173	-0.03637143	-0.06952646	-0.06977521	-0.10337982	-0.10484553	-0.13646139	-0.13744416	-0.17121047	-0.17170704	-0.20664693	-0.23937184	-0.27230696	-0.30665581	-0.3412015	-0.3761932	-0.39128346
-0.03349012	-0.03514844	-0.06693717	-0.06740872	-0.09963748	-0.10105263	-0.13135654	-0.13229168	-0.16492354	-0.16538556	-0.19892217	-0.23053175	-0.26209653	-0.29503584	-0.32840588	-0.36221197	-0.37610266
-0.03232106	-0.03369598	-0.06436525	-0.06458608	-0.09591925	-0.09682051	-0.12627605	-0.12717716	-0.15844409	-0.15887579	-0.19102056	-0.22173518	-0.25194587	-0.2839585	-0.31547067	-0.34808187	-0.36141348
-0.03092078	-0.03226172	-0.06180145	-0.06224631	-0.09219686	-0.09308774	-0.12122039	-0.12221124	-0.1519875	-0.15242416	-0.18360569	-0.21296084	-0.24228282	-0.27289807	-0.30303001	-0.33445049	-0.34687175
-0.02954359	-0.03084601	-0.05948251	-0.05948271	-0.08851642	-0.08938254	-0.11664856	-0.11751361	-0.14604159	-0.14647366	-0.17625914	-0.20428255	-0.23227107	-0.26194334	-0.29114712	-0.32116962	-0.33265936
-0.02860604	-0.02987017	-0.05696385	-0.05717678	-0.08486469	-0.08570601	-0.11168222	-0.11252246	-0.14013817	-0.14056493	-0.16897319	-0.19610072	-0.2227766	-0.25108189	-0.27914091	-0.30799131	-0.31875424
-0.02725375	-0.0284738	-0.05446972	-0.05487644	-0.08124288	-0.08225694	-0.10717008	-0.10798043	-0.13427555	-0.1346806	-0.1621506	-0.18776888	-0.21355453	-0.24051167	-0.26743099	-0.29491371	-0.30494785
-0.02611715	-0.02729863	-0.05219671	-0.0525925	-0.07765209	-0.07882961	-0.10248574	-0.10327091	-0.1284558	-0.12885285	-0.15497283	-0.1797001	-0.20439318	-0.23021592	-0.25600108	-0.28232886	-0.29158345
-0.02498342	-0.02612118	-0.04992987	-0.05012471	-0.07427357	-0.07522522	-0.09801695	-0.09878197	-0.12285471	-0.12324543	-0.14821853	-0.17185635	-0.19546026	-0.22015177	-0.24461938	-0.26979562	-0.27819172
-0.02386265	-0.02495414	-0.0476883	-0.04787657	-0.07093294	-0.07184611	-0.093599	-0.09432954	-0.11731676	-0.11769155	-0.14153939	-0.16392039	-0.18644834	-0.21002123	-0.23355713	-0.25759357	-0.2652105
-0.02274582	-0.0237921	-0.0454549	-0.04562651	-0.06760483	-0.06847269	-0.08919802	-0.08988674	-0.11180008	-0.11214	-0.13488573	-0.15637505	-0.17783103	-0.20028913	-0.22253823	-0.24543919	-0.25230794
-0.02163702	-0.02264582	-0.04323702	-0.0434075	-0.0642999	-0.06513784	-0.08482811	-0.08549793	-0.10632201	-0.10665779	-0.1282781	-0.14870335	-0.16926118	-0.19044676	-0.21176156	-0.23353425	-0.23964485
-0.02053503	-0.02149795	-0.04103397	-0.04119923	-0.06101797	-0.06198101	-0.08064888	-0.08113197	-0.10104237	-0.1013718	-0.1218765	-0.14124573	-0.16058226	-0.18083433	-0.20105034	-0.22186017	-0.22706191
-0.01944279	-0.02035987	-0.0390016	-0.03916026	-0.05791497	-0.05868221	-0.07649029	-0.07710601	-0.09579482	-0.09595519	-0.11551758	-0.1338395	-0.15228003	-0.17159181	-0.19056651	-0.21010655	-0.21468767
-0.01850334	-0.01923152	-0.03682542	-0.03697743	-0.0548224	-0.05540845	-0.0722065	-0.07279495	-0.09056958	-0.09087044	-0.1091851	-0.12661284	-0.14400802	-0.16208718	-0.180274	-0.19871039	-0.20252271
-0.01728284	-0.0181148	-0.03466838	-0.0349471	-0.05174348	-0.05229652	-0.06823525	-0.06878717	-0.08551678	-0.08579359	-0.10303625	-0.11942776	-0.13578707	-0.15292945	-0.17003628	-0.18737815	-0.19039071
-0.01634574	-0.01713256	-0.03278681	-0.03279739	-0.04867205	-0.04920478	-0.06413451	-0.06453838	-0.08034289	-0.08062343	-0.09690331	-0.1123953	-0.12772624	-0.14379589	-0.15995853	-0.17634112	-0.17837009
-0.01540823	-0.0160275	-0.03065835	-0.03079097	-0.04562876	-0.04613454	-0.06007654	-0.06058019	-0.07534689	-0.07548926	-0.0908254	-0.10529608	-0.11973478	-0.13474592	-0.14972229	-0.16514515	-0.16661639
-0.01423293	-0.01492737	-0.02854658	-0.0287826	-0.04259547	-0.04306366	-0.05615179	-0.05662086	-0.07036322	-0.07060614	-0.0847681	-0.09833984	-0.11187946	-0.1259536	-0.1397667	-0.15422283	-0.15469703
-0.01330013	-0.01394625	-0.02667234	-0.02667465	-0.03958008	-0.0402268	-0.05224081	-0.05267162	-0.06551096	-0.06572691	-0.07895924	-0.0915211	-0.10383917	-0.11697258	-0.13007232	-0.14334823	-0.14303861
-0.01236164	-0.01296296	-0.02458838	-0.02478783	-0.03658158	-0.03718323	-0.04834288	-0.04874384	-0.0604693	-0.06067064	-0.07295748	-0.08462004	-0.09605393	-0.10824209	-0.12019935	-0.13251275	-0.13160642
-0.01141947	-0.01179035	-0.02271227	-0.02271246	-0.03378672	-0.0341554	-0.04446075	-0.04482836	-0.05565126	-0.05583718	-0.06717445	-0.07775153	-0.08847925	-0.09953691	-0.11056037	-0.12190926	-0.12004211
-0.01030511	-0.01081576	-0.02066112	-0.02083505	-0.03081401	-0.03115589	-0.04059708	-0.04094177	-0.05085261	-0.05102801	-0.06140832	-0.07109417	-0.08074903	-0.09086967	-0.10095599	-0.11117245	-0.10867691
-0.00937238	-0.00983604	-0.01878787	-0.01894182	-0.02786208	-0.02832537	-0.0367512	-0.03705989	-0.04606646	-0.04622158	-0.05549917	-0.06429132	-0.07305238	-0.08223291	-0.09137903	-0.10063977	-0.09734038
-0.00843678	-0.00885413	-0.01690888	-0.01690889	-0.02507053	-0.02534771	-0.03306248	-0.03327131	-0.04129715	-0.04143661	-0.0497712	-0.05766645	-0.06553051	-0.07376758	-0.08183599	-0.0901382	-0.08603614
-0.0074986	-0.00786946	-0.01490168	-0.01502507	-0.0222101	-0.02251875	-0.0292417	-0.02948798	-0.03666765	-0.03673062	-0.04411947	-0.05105497	-0.05801965	-0.06519153	-0.07244862	-0.07978919	-0.07481595
-0.00655786	-0.0068282	-0.0130282	-0.01313588	-0.01935811	-0.01957221	-0.0255492	-0.02565579	-0.03191991	-0.03202682	-0.03846795	-0.0444571	-0.05052026	-0.05675948	-0.06301676	-0.06934248	-0.06362251
-0.00561545	-0.00580062	-0.01115111	-0.01115127	-0.01656183	-0.0167448	-0.02175839	-0.02194029	-0.02719435	-0.02728615	-0.03277755	-0.03787898	-0.04303879	-0.04834347	-0.05361458	-0.05902552	-0.05249243
-0.00463287	-0.00482547	-0.0092706	-0.00927096	-0.01368469	-0.01391246	-0.01806654	-0.01818067	-0.02256707	-0.02264321	-0.02714541	-0.0313941	-0.03557538	-0.03994329	-0.04427781	-0.04872184	-0.04137764
-0.00369517	-0.00384891	-0.00735696	-0.00738787	-0.01089484	-0.01104583	-0.01434031	-0.01443113	-0.0179034	-0.01793468	-0.02152065	-0.02484171	-0.02816114	-0.03159112	-0.03498821	-0.03843527	-0.03030137
-0.00273357	-0.00287056	-0.00545675	-0.00550192	-0.00810174	-0.00819088	-0.01062574	-0.01071424	-0.01324996	-0.01329411	-0.01590502	-0.01835542	-0.020754	-0.0232459	-0.02570363	-0.02818837	-0.01923149
-0.00180176	-0.00189173	-0.00358523	-0.00361468	-0.00530613	-0.0053639	-0.0069374	-0.00699447	-0.00862201	-0.00865021	-0.01030017	-0.01185019	-0.01336924	-0.01492118	-0.01642686	-0.01794851	-0.00817556
-0.000869	-0.000912	-0.00171261	-0.00172634	-0.0025089	-0.00253528	-0.00324714	-0.00327257	-0.00399142	-0.00400368	-0.00471362	-0.00535698	-0.00597517	-0.0065872	-0.00716073	-0.00772323	0.00288287
6.32E-05	6.73E-05	0.000161	0.000162	0.000289	0.000294	0.000444	0.00045	0.00064	0.000644	0.000874	0.00112452	0.00140767	0.0017361	0.00209506	0.00250441	0.01394045
